e1,e2,e3,e4,e5
-0.08209999999999999,0.031100000000000006,-0.09675000000000002,-0.15895000000000004,0.014849999999999999
0.02664999999999999,-0.11810000000000002,-0.08825,-0.19920000000000002,0.0319
0.02664999999999999,-0.11810000000000002,-0.08825,-0.19920000000000002,0.0319
-0.054000000000000006,0.02115,-0.11115,-0.15375000000000003,0.014549999999999999
-0.09085714285714287,-0.03800000000000001,-0.10685714285714287,-0.23785714285714293,-0.09642857142857143
0.049475000000000005,0.08117500000000001,0.019899999999999998,0.070275,-0.013825
-0.002086956521739137,-0.12473913043478262,-0.038347826086956534,-0.20556521739130437,-0.02826086956521739
-0.03655555555555554,-0.2832222222222222,0.23233333333333336,-0.10644444444444444,-0.07022222222222224
0.08417948717948717,0.029128205128205138,-0.0378974358974359,-0.12853846153846155,-0.059948717948717964
0.07928205128205128,0.026461538461538467,-0.04969230769230769,-0.12779487179487178,-0.05028205128205128
-0.0058076923076923045,-0.009653846153846159,-0.09526923076923079,-0.14557692307692308,-0.02384615384615385
-0.09175,-0.09125,0.037125000000000005,-0.144125,-0.0819375
0.02664999999999999,-0.11810000000000002,-0.08825,-0.19920000000000002,0.0319
-0.0787857142857143,0.010142857142857148,-0.10157142857142856,-0.2010714285714286,-0.03521428571428571
-0.06673333333333331,-0.08973333333333332,-0.002400000000000001,-0.19560000000000002,-0.11566666666666665
0.02664999999999999,-0.11810000000000002,-0.08825,-0.19920000000000002,0.0319
-0.061708333333333344,0.03558333333333333,-0.07095833333333335,-0.10049999999999999,0.055625
0.02148484848484848,0.09703030303030304,-0.12990909090909092,-0.07521212121212123,-0.011787878787878792
-0.016866666666666676,-0.1778666666666667,0.017600000000000005,-0.17806666666666668,0.04893333333333332
-0.05184000000000001,0.06424,-0.07104,-0.06828000000000001,0.025719999999999996
-0.03505555555555555,-0.08755555555555555,0.004888888888888891,-0.1732777777777778,-0.11166666666666668
-0.04333333333333334,-0.08733333333333332,0.020666666666666673,-0.0973888888888889,0.0015000000000000022
0.028791666666666677,-0.04758333333333333,-0.012874999999999998,-0.07825,-0.06258333333333332
-0.08292307692307693,0.03415384615384616,-0.10038461538461539,-0.16269230769230766,0.06299999999999999
0.018238095238095248,0.09185714285714286,0.020333333333333335,-0.021190476190476204,-0.14261904761904762
0.02285714285714286,0.05939285714285715,0.010499999999999994,-0.09067857142857146,0.04710714285714286
0.048062499999999994,0.06628124999999999,-0.0576875,-0.09153125000000002,9.374999999999661e-05
-0.005538461538461539,0.033179487179487176,-0.07820512820512822,-0.14766666666666664,0.019923076923076915
-0.002300000000000002,-0.07303333333333335,-0.0582,-0.21019999999999997,-0.028300000000000006
